,Interests,Citations,H-Index,i10-Index,Coauthors
Dr. Aruna Tiwari,"Artificial Intelligence, Big Data Analytics, Soft Computing, and Data Mining",3525,24,55,"['A Bhardwaj', 'A Tiwari', 'A Purohit', 'D Chandarana', 'K Sudharsan', 'A Sakalle', 'N Nagendra', 'B Richhariya', 'M Ratnaparkhe', 'M Verma', 'N Bharill', 'D Babel', 'C Gautam', 'HM Pandey', 'MR Krishna', 'PK Mishra', 'V Varma', 'K Ahuja', 'AP Mishra', 'M Mounika', '...', 'Q Leng', 'S Jalan', 'P Jha', 'MA Ganaie', 'MV Varma', 'MJ Er', 'R Balaji', 'M Prasad', 'R Choudhary', 'K Rajendra', 'S Wang', 'S Suresh', 'NS Chaudhari', 'OP Patel', 'H Bhardwaj', 'A Saxena', 'A Gupta', 'A Malviya', 'M Tanveer', 'R Krishna']"
Kapil Ahuja,"Applied Machine Learning, Network Science, Computational Optimization, Numerical Linear Algebra",572,15,20,"['A Tiwari', 'MB Ratnaparkhe', 'AA Shastri', 'K Świrydowicz', 'K Sudharsan', 'U Murthy', 'S Kim', 'LT Watson', 'L Feng', 'BK Clark', 'B Endtmayer', 'A Gagrani', 'C Gautam', 'A Amritkar', 'S Ullah', 'R Agrawal', 'K Ahuja', 'S Vasile', 'A Lal', 'SC Billups', 'S Gupta', 'S Rai', 'C Hau Hoo', 'T Wick', 'S Gugercin', 'A Kumar', 'ER Chang', 'YV Peruvemba', 'J Kim', 'E de Sturler', 'R Balaji', 'D Tamrakar', 'R Choudhary', 'A Shah', 'EA Fox', 'T Duy Anh Nguyen', 'DM Ceperley', 'S Suresh', 'S Murthy', 'MC Steinbach', 'P Benner', 'E De Sturler', 'D Tafti']"
Dr. Narendra S Chaudhari,"Machine Learning, Soft Computing, Theoretical Computer Science, Security",2426,24,77,"['J Chen', 'A Tiwari', 'A Purohit', 'A Muralidharan', 'YC Hui', 'A Das', 'R Hablani', 'RS Bhadoria', 'JC Patra', 'GS Tomar', 'S Li', 'BL Parne', 'S Gupta', 'M Gupta', 'EC Prakash', 'LR Pratt', 'N Chaudhari', 'MI Chaudhari', 'S Tanwani', 'N Saxena', 'NS Chaudhari', 'S Grijalva', 'WB Poh', 'IW Tsang', 'J Thomas', 'SB Rempe']"
"Prof. Anirban Sengupta, IEEE Distinguished Visitor, IEEE Distinguished Lecturer, FIET, FBCS","IP Protection, High Level Synthesis, Hardware Security and Trust, CAD for VLSI",3426,30,105,"['SP Mohanty', 'E Kougianos', 'VK Mishra', 'D Roy', 'P Corcoran', 'M Parthasarathy', 'NKH Slater', 'AS Tiagi', 'ER Kumar', 'S Bhadauria', 'HK Patra', 'X Hong', 'P Guturu', 'S Bhunia', 'H Li', 'N Al-Otaibi', 'A Sengupta', 'S Nimmagadda', 'R Lund', 'MT Christensen', 'J Jayant', 'R Kastner', 'GH Zhu', 'P Sarkar', 'M Rathor', 'K Kumar', 'A Feroz', 'R Koganty', 'R Sedaghat', 'T Sabin', 'M Azharuddin', 'J Hinkula', 'W Hu', 'CH Chang', 'S Manuguri', 'Z Zeng', 'NP Chandra']"
Dr. Surya Prakash,"Ear Recognition, Biometrics, Pattern Recognition, Computer Vision, Image Processing",1628,26,54,"['SS Ali', 'VS Baghel', 'S Prakash', 'PA Rotte', 'S Bakshi', 'A Jain', 'P Joshi', 'P Consul', 'II Ganapathi', 'A Nigam', 'AR Bhople', 'P Gupta', 'S Kohli', 'IR Dave', 'S Mahyo', 'AM Shrivastava', 'A Bendale', 'AM Srivastava', 'U Jayaraman']"
